Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
02,2024,03,12,12,06,40,0.224,-0.167,NaN,47.097,44.633,NaN,219.847,361.15,16444.43,4.349
02,2024,03,12,12,06,41,0.222,-0.118,NaN,45.144,43.962,NaN,258.81,353.664,16426.94,4.349
02,2024,03,12,12,06,41,0.118,-0.16,NaN,44.102,44.499,NaN,122.909,206.834,16455.82,4.349
02,2024,03,12,12,06,42,0.058,-0.157,NaN,44.989,43.94,NaN,59.488,234.129,16423.21,4.349
02,2024,03,12,12,06,42,0.185,-0.068,NaN,46.076,43.068,NaN,50.325,182.603,16424.36,4.349
02,2024,03,12,12,06,43,0.117,-0.074,NaN,45.522,44.432,NaN,-43.208,83.084,16466.55,4.349
02,2024,03,12,12,06,43,0.165,-0.026,NaN,40.952,40.766,NaN,7.57,239.443,16450.99,4.349
02,2024,03,12,12,06,44,0.158,-0.01,NaN,40.22,38.598,NaN,62.128,111.228,16445.17,4.349
02,2024,03,12,12,06,44,0.198,-0.006,NaN,42.615,40.632,NaN,5.32,86.762,16429.92,4.349
02,2024,03,12,12,06,45,0.193,-0.119,NaN,43.481,44.544,NaN,-53.566,14.186,16444.94,4.349
02,2024,03,12,12,06,45,0.269,-0.09,NaN,45.499,44.834,NaN,-52.264,33.406,16460.61,4.349
02,2024,03,12,12,06,46,0.166,-0.106,NaN,43.658,45.795,NaN,-96.209,44.604,16428.11,4.349
02,2024,03,12,12,06,46,0.091,-0.12,NaN,44.057,44.141,NaN,-58.663,94.175,16430.89,4.349
02,2024,03,12,12,06,47,0.255,-0.056,NaN,43.902,43.359,NaN,-106.07,185.179,16420.45,4.349
02,2024,03,12,12,06,47,0.158,-0.025,NaN,44.79,45.974,NaN,-77.702,154.868,16415.21,4.349
02,2024,03,12,12,06,48,0.327,-0.1,NaN,43.325,43.806,NaN,-66.535,257.92,16416.36,4.349
02,2024,03,12,12,06,49,0.215,-0.098,NaN,46.121,45.08,NaN,-50.903,232.781,16434.12,4.349
03,2024,03,12,12,07,14,0.213,-0.087,NaN,46.542,46.019,NaN,321.204,403.188,16458.69,4.322
03,2024,03,12,12,07,14,0.236,-0.042,NaN,46.209,45.281,NaN,310.401,466.894,16439.96,4.312
03,2024,03,12,12,07,15,0.248,-0.091,NaN,47.318,45.058,NaN,338.754,429.766,16459.19,4.312
03,2024,03,12,12,07,15,0.121,-0.129,NaN,44.789,43.381,NaN,246.751,330.795,16480.96,4.32
03,2024,03,12,12,07,16,0.232,-0.078,NaN,44.701,43.225,NaN,336.283,511.61,16435.94,4.312
03,2024,03,12,12,07,16,0.27,0.015,NaN,44.59,46.041,NaN,321.733,553.031,16461.75,4.316
03,2024,03,12,12,07,17,0.316,-0.077,NaN,45.943,47.561,NaN,430.467,487.078,16443.41,4.308
03,2024,03,12,12,07,17,0.286,-0.074,NaN,44.412,45.236,NaN,451.276,412.042,16415.77,4.316
03,2024,03,12,12,07,18,0.29,-0.109,NaN,47.008,45.773,NaN,394.569,392.689,16459.6,4.308
03,2024,03,12,12,07,18,0.221,-0.101,NaN,45.721,45.639,NaN,378.728,429.551,16461.34,4.32
03,2024,03,12,12,07,19,0.316,-0.011,NaN,45.078,42.823,NaN,437.998,381.475,16439.29,4.316
03,2024,03,12,12,07,19,0.207,-0.003,NaN,44.701,42.621,NaN,302.885,273.213,16450.77,4.316
03,2024,03,12,12,07,20,0.258,-0.063,NaN,45.011,43.918,NaN,344.948,346.679,16444.07,4.312
03,2024,03,12,12,07,20,0.36,-0.152,NaN,46.342,46.533,NaN,363.646,347.826,16481.14,4.32
03,2024,03,12,12,07,21,0.3,-0.118,NaN,47.296,46.734,NaN,449.396,413.448,16436.56,4.32
03,2024,03,12,12,07,21,0.351,-0.076,NaN,45.388,46.935,NaN,439.286,371.682,16458.41,4.316
03,2024,03,12,12,07,22,0.288,-0.041,NaN,44.568,41.862,NaN,410.567,419.714,16469.69,4.32
03,2024,03,12,12,07,22,0.242,0.018,NaN,45.322,42.219,NaN,375.392,329.021,16434.71,4.324
03,2024,03,12,12,07,23,0.239,0.014,NaN,45.588,43.94,NaN,412.113,381.401,16459.73,4.337
03,2024,03,12,12,07,23,0.306,-0.143,NaN,43.902,45.594,NaN,370.721,341.891,16429.97,4.312
03,2024,03,12,12,07,24,0.352,-0.051,NaN,45.943,43.627,NaN,342.012,396.307,16442.91,4.333
